id,kode_provinsi,nama_provinsi,persentase_penduduk_miskin,satuan,tahun,id_gini,kode_provinsi_gini,semester,gini_ratio,satuan_gini,id_tpt,kode_provinsi_tpt,daerah,tingkat_penganggur_terbuka,satuan_tpt,id_ipm,kode_provinsi_ipm,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,indeks_pembangunan_manusia,satuan_ipm,kemiskinan_tahun_depan,rata_rata_inflasi_tahunan
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,33,32,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,72.51,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,34,32,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,57.41,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,35,32,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,71.8,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,36,32,3218,KABUPATEN PANGANDARAN,PEREMPUAN,64.39,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,37,32,3271,KOTA BOGOR,LAKI-LAKI,80.17,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,38,32,3271,KOTA BOGOR,PEREMPUAN,72.89,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,39,32,3272,KOTA SUKABUMI,LAKI-LAKI,78.65,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,40,32,3272,KOTA SUKABUMI,PEREMPUAN,71.63,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,41,32,3273,KOTA BANDUNG,LAKI-LAKI,84.32,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,42,32,3273,KOTA BANDUNG,PEREMPUAN,80.2,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,43,32,3274,KOTA CIREBON,LAKI-LAKI,77.95,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,44,32,3274,KOTA CIREBON,PEREMPUAN,73.23,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,45,32,3275,KOTA BEKASI,LAKI-LAKI,85.56,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,46,32,3275,KOTA BEKASI,PEREMPUAN,79.79,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,47,32,3276,KOTA DEPOK,LAKI-LAKI,84.53,POIN,7.45,"18,575"
